X,Y,OBJECTID,PROJECT_NAME,ASSET_CATEGORY,PRACTICE_TYPE,CREDIT_RECEIVED,ACRES_MANAGED,DESCRIPTION,DESIGNER,INSTALLER,MAINTAINER,MEDIA_URL,ADDITIONAL_PRACTICETYPE,GALLONS_MANAGED_MG,PRACTICE_AREA,NEIGHBORHOOD,PROJECT_REASON,DESIGN_DATE,PROJECT_COST,MAINTENANCE_COST,MAX_DEPTH,UNDERDRAIN,PIPE_DIAMETER,STORM_EVENT_SIZE,CONSTRUCTION_START,OWNER_TYPE,INVERT_PIPE_in,Latitude,Longitude,GlobalID,DISTRICT,MEDIA_URL2,MEDIA_URL3,VIDEO_URL,Project_Page_URL,DOC_URL2,DOC_URL1,Num_RainBarrells,Size_RainBarrel,Downspout_RainBarrel,Purpose_RainBarrels,Installation_Date,OTHER_PRACTICETYPE,Secondary_Project_Reason,Project_Engineer,DEPTH
-9264703.6791,5214982.0764,1,Artesian Street,DWSD,Permeable Pavement,Yes,5.3,Porous Asphalt along Artesian Street from 18950 Joy Rd to 9115 Artesian St. This project was implemented by DWSD to reduce stormwater entering the combined sewer system.,,,DWSD,https://dwsd.box.com/shared/static/mhe5joilanngudiwwsyewm9h7aiqlszt.png,,3.84,2442,Franklin Park,Permit Compliance,1970/01/01 00:00:00+00,,,,Yes,,,1970/01/01 00:00:00+00,Government,,,,3d3e570e-68a0-4799-a7d4-f72159961010,District 7,,,,http://detroitstormwater.org/projects/artesian-street,,,,,,,1970/01/01 00:00:00+00,,,,
-9264512.5861,5213854.127,2,Stahelin,DWSD,Bioretention,Yes,1.12,This is a bioretention practice installed on a vacant lot by DWSD as part of their effort to reduce stormwater entering the combined sewer system. ,,,DWSD,https://dwsd.box.com/shared/static/fkyjlr9qemfkwyyk1s5hhiiorjb1jc1f.jpg,,1.24,8715,Warrendale,Permit Compliance,1970/01/01 00:00:00+00,,,,Yes,,,1970/01/01 00:00:00+00,Government,,,,2ed5fb6b-695e-4ebd-a010-725bd0423334,District 7,https://dwsd.box.com/shared/static/6rjp1zn68tmlkfy1qssqu439152usti6.jpg,,https://vimeo.com/146943135,http://detroitstormwater.org/projects/stahelin,,,,,,,1970/01/01 00:00:00+00,,,,
-9264272.8972,5213697.5779,3,Greenview,DWSD,Bioretention,Yes,0.58,This is a bioretention practice installed on a vacant lot by DWSD as part of their effort to reduce stormwater entering the combined sewer system. ,,,DWSD,https://dwsd.box.com/shared/static/l5j1ssjiv9icjuh6euy61wnqqxaglczc.jpg,,0.21,7840.8,Warrendale,Permit Compliance,1970/01/01 00:00:00+00,,,,Yes,,,1970/01/01 00:00:00+00,Government,,,,ec8c9375-b450-445a-8cf4-04522b90824d,District 7,,,,http://detroitstormwater.org/projects/greenview,,,,,,,1970/01/01 00:00:00+00,,,,
-9265820.6428,5214063.4526,4,Evergreen,DWSD,Bioretention,Yes,0.7,This is a bioretention practice installed on a vacant lot by DWSD as part of their effort to reduce stormwater entering the combined sewer system. ,,,DWSD,https://dwsd.box.com/shared/static/u0ppnomkl4m1hgzk7bxv1pid02wtz66y.jpg,,0.33,13155,Warrendale,Permit Compliance,1970/01/01 00:00:00+00,,,,Yes,,,1970/01/01 00:00:00+00,Government,,,,abb8db27-ac2b-4ca3-ac66-dde67b6f6ce3,District 7,,,https://vimeo.com/146943135,http://detroitstormwater.org/projects/evergreen,,,,,,,1970/01/01 00:00:00+00,,,,
-9265938.5793,5213809.567,5,Vaughan,DWSD,Bioretention,Yes,1,This is a bioretention practice installed on a vacant lot by DWSD as part of their effort to reduce stormwater entering the combined sewer system. ,,,DWSD,https://dwsd.box.com/shared/static/pcyc563vp80u1acb7qeuxr73ws1rax2a.jpg,,1.28,9150,Warrendale,Permit Compliance,1970/01/01 00:00:00+00,,,,Yes,,,1970/01/01 00:00:00+00,Government,,,,2d71ecd1-7392-4947-b523-50aef4ab6f44,District 7,,,https://vimeo.com/146943135,http://detroitstormwater.org/projects/vaughan,,,,,,,1970/01/01 00:00:00+00,,,,
-9262024.3642,5217664.2921,6,O'Shea,DWSD,Bioretention,Yes,3.72,This is a bioretention practice installed in O'shea park by DWSD as part of their effort to reduce stormwater entering the combined sewer system.,,,,https://detroitstormwater.org/projects/oshea,,1.59,,Plymouth-I96,,1970/01/01 00:00:00+00,,,,,,,1970/01/01 00:00:00+00,,,,,85f2ddf8-6f3c-4f2a-add7-bd055bca5b8c,District 7,,,,http://detroitstormwater.org/projects/oshea,,,,,,,1970/01/01 00:00:00+00,,,,
-9265598.7624,5220334.9199,7,Stoepel Park (No. 1),DWSD,Bioretention,Yes,6.45,Green Stormwater Infrastructure at Stoepel Park inclides a series of Bioretention practices and a porous pavement system in the parking lot. These practices were installed by DWSD as part of their effort to reduce stormwater entering the combined sewer system.    ,,,DWSD,https://dwsd.box.com/shared/static/i4f5rejxnkfcb2ujqbv2oyqu9mirck11.jpg,,2.03,15910,Westwood Park,Permit Compliance,1970/01/01 00:00:00+00,,,,Yes,,,1970/01/01 00:00:00+00,Government,,,,75748074-310b-41cf-9c90-9dd01a633a6a,District 1,https://dwsd.box.com/shared/static/s1e34jf2zaifvzs6yq142m6ivmm09z8o.jpg,https://dwsd.box.com/shared/static/hnmyllse78r43v5jm34qxp9fdqdck9zy.jpg,,http://detroitstormwater.org/projects/stoepel-park-no-1,,,,,,,1970/01/01 00:00:00+00,,,,
-9265279.6534,5221478.401,8,Keeler,DWSD,Permeable Pavement,Yes,1,Pave drains run along Keeler Street from Outer Drive to Piedmont Street. This practice was installe dby DWSD as part of their effort to reduce stormwater entering the combined sewer system.,,,DWSD,https://dwsd.box.com/shared/static/9bnwjfh6xpp2ioet9ajhofmc47eks7ox.jpg,,0.67,1172,Rosedale Park,Permit Compliance,1970/01/01 00:00:00+00,,,,Yes,,,1970/01/01 00:00:00+00,Government,,,,89c3aa39-fdf9-436b-b6a1-2a896753a77c,District 1,,,,http://detroitstormwater.org/projects/keeler,,,,,,,1970/01/01 00:00:00+00,,,,
-9268096.7165,5222562.1172,9,Crowell,DWSD,Permeable Pavement,Yes,2.48,Green Stormwater Infrastructure at Crowell Recreation Center includes the removal of two existing paved parking lots (north and south) and replacement of the center section of parking stalls with permeable block pavement and bioretention islands. This practice was installed by DWSD as part of their effort to reduce stormwater entering the combined sewer system.,,,,https://dwsd.box.com/shared/static/6dooz03br3c786msdbe3u0vwz7yib5kq.jpg,,1.47,,Riverdale,,1970/01/01 00:00:00+00,,,,,,,1970/01/01 00:00:00+00,,,,,1d5ebd2f-af98-404c-aa95-cdb9fc5b870e,District 1,https://dwsd.box.com/shared/static/vqk85hukdm4vpgkmmha9qq8osk0pjc20.jpg,https://dwsd.box.com/shared/static/0ymbnmx3p3d9ubv1i6u6r9b7yo39tnyc.jpg,,http://detroitstormwater.org/projects/crowell,,,,,,,1970/01/01 00:00:00+00,,,,
-9262049.1187,5227207.2229,10,Liuzzo Park,DWSD,Bioretention,Yes,3.1,Liuzzo Park contains a series of bioretention practices installed by DWSD as part of their effort to reduce stormwater entering the combined sewer system.,,,DWSD,https://dwsd.box.com/shared/static/xt8mugrszmc6pt5qrjt7cu8484vpxpok.jpg,,0.99,10855,Greenfield,Permit Compliance,1970/01/01 00:00:00+00,,,,Yes,,,1970/01/01 00:00:00+00,Government,,,,11f90d7c-04c4-4552-aef5-4e526eac1d90,District 2,https://dwsd.box.com/shared/static/dveqnwke0kg17ory13pf0505xbmt5wmm.jpg,,,http://detroitstormwater.org/projects/liuzzo-park,,,,,,,1970/01/01 00:00:00+00,,,,
-9268004.4352,5213476.0394,12,Tireman Phase I,DWSD,Bioswale,Yes,6.48,This is a Bioswale located in Rouge Park.,,,DWSD,https://dwsd.box.com/shared/static/1qxqgvmmrpy2khtnrcrsp4if76oyxyat.jpg,,3.48,,Rouge Park,Permit Compliance,1970/01/01 00:00:00+00,,,,Yes,,,1970/01/01 00:00:00+00,Government,,,,963243bc-c152-4674-be36-1a1d61f063d7,District 7,,,,http://detroitstormwater.org/projects/tireman-phase-i,,,,,,,1970/01/01 00:00:00+00,,,,
-9268249.3949,5213439.375,13,Tireman Phase II,DWSD,Bioswale,Yes,3.05,This is a Bioswale located in Far West Detroit.,,,DWSD,https://dwsd.box.com/shared/static/8hvqgutbfmmev6qx9h7xt9q6kvcpidhq.png,,1.48,,Far West Detroit,Permit Compliance,1970/01/01 00:00:00+00,,,,Yes,,,1970/01/01 00:00:00+00,Government,,,,eb79045c-c2e0-4754-adde-5d2f9d2e9918,District 7,,,,http://detroitstormwater.org/projects/tireman-phase-ii,,,,,,,1970/01/01 00:00:00+00,,,,
-9264290.1569,5214721.7394,18,Joy Road,DWSD,Permeable Pavement,Yes,4.29,This is a permeable pavement practice.,,,City of Detroit General Services Department,https://dwsd.box.com/shared/static/t4eoag8seg777ebmv6yqp4sf0ydrrx2f.jpg,Bioretention,0,,Warrendale,,1970/01/01 00:00:00+00,,,,,,,1970/01/01 00:00:00+00,Government,,,,f7b3023e-a282-473f-99ed-df440a051867,District 7,,,,http://detroitstormwater.org/projects/joy-road,,,,,,,1970/01/01 00:00:00+00,,,,
-9268774.0734,5213974.322,19,Constance,DWSD,Other,Yes,15.1,This practice is a street storm sewer and was implemented by DWSD in 2016.,,,DWSD,,Street Storm Sewer,5.86,,Far West Detroit,Permit Compliance,1970/01/01 00:00:00+00,,,,Yes,,,1970/01/01 00:00:00+00,Government,,,,21c9d54a-99c9-4e71-a9f3-15c60c3eb022,District 7,,,,http://detroitstormwater.org/projects/constance,,,,,,,1970/01/01 00:00:00+00,,,,
-9253475.9454,5206735.9063,20,Drainage Credit Project,Drainage Credit,Disconnected Impervious,Yes,0.15,This is a Disconnected Impervious located in Springwells,,,,https://dwsd.box.com/shared/static/vjna6xosv8w42y7cci6m93lxbf15jb0j.jpg,,0.113,,Springwells,Drainage Credit,1970/01/01 00:00:00+00,5000,,,,,,1970/01/01 00:00:00+00,,,42.3047268191294,-83.1253887298516,376bd34a-e765-4a07-b2dd-7e5276b403d6,District 6,,,,http://detroitstormwater.org/projects/drainage-credit-project-43,,,,,,,1970/01/01 00:00:00+00,,,,
